,day_counter,0,1,2,3,4,5,6
2011-11-16,684,120,3,,,,,
2011-11-17,685,119,3,,,,,
2011-11-18,686,119,3,,,,,
2011-11-19,687,119,3,,,,,
2011-11-20,688,119,3,,,,,
2011-11-21,689,119,3,,,,,
2011-11-22,690,119,3,,,,,
2011-11-23,691,117,3,,,,,
2011-11-24,692,117,3,,,,,
2011-11-25,693,117,3,,,,,
2011-11-26,694,117,3,,,,,
2011-11-27,695,117,3,,,,,
2011-11-28,696,118,3,,,,,
2011-11-29,697,118,3,,,,,
2011-11-30,698,116,3,,,,,
2011-12-01,699,115,3,,,,,
2011-12-02,700,115,3,,,,,
2011-12-03,701,115,3,,,,,
2011-12-04,702,115,3,,,,,
2011-12-05,703,116,3,,,,,
2011-12-06,704,116,3,,,,,
2011-12-07,705,118,3,,,,,
2011-12-08,706,118,3,,,,,
2011-12-09,707,121,3,,,,,
2011-12-10,708,122,3,,,,,
2011-12-11,709,123,3,,,,,
2011-12-12,710,124,3,,,,,
2011-12-13,711,124,3,,,,,
2011-12-14,712,124,3,,,,,
2011-12-15,713,124,3,,,,,
2011-12-16,714,123,3,,,,,
2011-12-17,715,123,3,,,,,
2011-12-18,716,122,5,,,,,
2011-12-19,717,122,5,,,,,
2011-12-20,718,123,5,,,,,
2011-12-21,719,124,5,,,,,
2011-12-22,720,124,5,,,,,
2011-12-23,721,123,5,,,,,
2011-12-24,722,123,5,,,,,
2011-12-25,723,124,5,,,,,
2011-12-26,724,124,5,,,,,
2011-12-27,725,124,5,,,,,
2011-12-28,726,124,5,,,,,
2011-12-29,727,124,5,,,,,
2011-12-30,728,124,5,,,,,
2011-12-31,729,124,5,,,,,
2012-01-01,730,122,5,,,,,
2012-01-02,731,122,5,,,,,
2012-01-03,732,122,5,,,,,
2012-01-04,733,122,5,,,,,
2012-01-05,734,122,5,,,,,
2012-01-06,735,122,5,,,,,
2012-01-07,736,122,5,,,,,
2012-01-08,737,122,5,,,,,
2012-01-09,738,122,5,,,,,
2012-01-10,739,122,5,,,,,
2012-01-11,740,122,5,,,,,
2012-01-12,741,122,5,,,,,
2012-01-13,742,122,5,,,,,
2012-01-14,743,122,5,,,,,
2012-01-15,744,122,5,,,,,
2012-01-16,745,122,5,,,,,
2012-01-17,746,122,5,,,,,
2012-01-18,747,122,5,,,,,
2012-01-19,748,121,5,,,,,
2012-01-20,749,121,5,,,,,
2012-01-21,750,121,5,,,,,
2012-01-22,751,121,5,,,,,
2012-01-23,752,121,5,,,,,
2012-01-24,753,120,5,,,,,
2012-01-25,754,120,5,,,,,
